Denmark, Population size (abridged)	Last modified: 23 Apr 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
     2017        0             30054.00        31971.00        62025.00
     2017        1             28889.00        30364.00        59253.00
     2017        2             28451.00        30069.00        58520.00
     2017        3             28302.00        29675.00        57977.00
     2017        4             29187.00        31101.00        60288.00
     2017        5             30169.00        31315.00        61484.00
     2017        6             32201.00        33846.00        66047.00
     2017        7             31898.00        33738.00        65636.00
     2017        8             32974.00        35147.00        68121.00
     2017        9             32725.00        34430.00        67155.00
     2017       10             33014.00        34893.00        67907.00
     2017       11             32858.00        34129.00        66987.00
     2017       12             32741.00        34281.00        67022.00
     2017       13             32636.00        34292.00        66928.00
     2017       14             32152.00        34066.00        66218.00
     2017       15             33066.00        34489.00        67555.00
     2017       16             34135.00        35704.00        69839.00
     2017       17             33852.00        35408.00        69260.00
     2017       18             34048.00        35960.00        70008.00
     2017       19             35260.00        37428.00        72688.00
     2017       20             36333.00        38239.00        74572.00
     2017       21             38288.00        40279.00        78567.00
     2017       22             39191.00        40709.00        79900.00
     2017       23             38338.00        40061.00        78399.00
     2017       24             39038.00        40846.00        79884.00
     2017       25             38096.00        39395.00        77491.00
     2017       26             37926.00        39611.00        77537.00
     2017       27             37003.00        38426.00        75429.00
     2017       28             35869.00        37465.00        73334.00
     2017       29             34241.00        36085.00        70326.00
     2017       30             33792.00        35526.00        69318.00
     2017       31             33241.00        34270.00        67511.00
     2017       32             31899.00        33238.00        65137.00
     2017       33             31450.00        32241.00        63691.00
     2017       34             31857.00        33032.00        64889.00
     2017       35             32026.00        32517.00        64543.00
     2017       36             33886.00        34260.00        68146.00
     2017       37             34399.00        34860.00        69259.00
     2017       38             35279.00        35704.00        70983.00
     2017       39             35151.00        35341.00        70492.00
     2017       40             36236.00        36920.00        73156.00
     2017       41             39565.00        39358.00        78923.00
     2017       42             38766.00        38916.00        77682.00
     2017       43             38601.00        38743.00        77344.00
     2017       44             40372.00        40394.00        80766.00
     2017       45             39403.00        40220.00        79623.00
     2017       46             37983.00        38352.00        76335.00
     2017       47             37470.00        38325.00        75795.00
     2017       48             38726.00        39766.00        78492.00
     2017       49             41452.00        42144.00        83596.00
     2017       50             44255.00        45246.00        89501.00
     2017       51             42861.00        43561.00        86422.00
     2017       52             41523.00        42595.00        84118.00
     2017       53             40805.00        41312.00        82117.00
     2017       54             38468.00        38867.00        77335.00
     2017       55             37370.00        37559.00        74929.00
     2017       56             37144.00        37488.00        74632.00
     2017       57             35620.00        35523.00        71143.00
     2017       58             35689.00        35569.00        71258.00
     2017       59             35207.00        35041.00        70248.00
     2017       60             35371.00        34955.00        70326.00
     2017       61             34598.00        34328.00        68926.00
     2017       62             34074.00        32993.00        67067.00
     2017       63             34259.00        33418.00        67677.00
     2017       64             33421.00        32439.00        65860.00
     2017       65             32514.00        31760.00        64274.00
     2017       66             33654.00        31961.00        65615.00
     2017       67             33171.00        31388.00        64559.00
     2017       68             34364.00        32876.00        67240.00
     2017       69             36179.00        34429.00        70608.00
     2017       70             36579.00        35060.00        71639.00
     2017       71             34856.00        33076.00        67932.00
     2017       72             32773.00        30385.00        63158.00
     2017       73             29935.00        27124.00        57059.00
     2017       74             27526.00        24974.00        52500.00
     2017       75             24146.00        21395.00        45541.00
     2017       76             23065.00        19991.00        43056.00
     2017       77             21293.00        18357.00        39650.00
     2017       78             20443.00        17269.00        37712.00
     2017       79             19320.00        15588.00        34908.00
     2017       80             17578.00        14049.00        31627.00
     2017       81             16070.00        12450.00        28520.00
     2017       82             14873.00        11087.00        25960.00
     2017       83             13403.00         9674.00        23077.00
     2017       84             12467.00         8476.00        20943.00
     2017       85             11281.00         7470.00        18751.00
     2017       86             10346.00         6483.00        16829.00
     2017       87              9273.00         5645.00        14918.00
     2017       88              8545.00         4793.00        13338.00
     2017       89              7548.00         3834.00        11382.00
     2017       90              6733.00         3248.00         9981.00
     2017       91              5750.00         2512.00         8262.00
     2017       92              4867.00         1924.00         6791.00
     2017       93              4001.00         1399.00         5400.00
     2017       94              2874.00          942.00         3816.00
     2017       95              2489.00          784.00         3273.00
     2017       96              1925.00          521.00         2446.00
     2017       97              1193.00          338.00         1531.00
     2017       98               862.00          200.00         1062.00
     2017       99               565.00          106.00          671.00
     2017      100               427.00           78.00          505.00
     2017      101               246.00           38.00          284.00
     2017      102               133.00           21.00          154.00
     2017      103                71.00           17.00           88.00
     2017      104                50.00           10.00           60.00
     2017      105                27.00            2.00           29.00
     2017      106                13.00            1.00           14.00
     2017      107                 5.00            0.00            5.00
     2017      108                 3.00            0.00            3.00
     2017      109                 0.00            0.00            0.00
     2017      110+                1.00            0.00            1.00
