United Kingdom, Population size (abridged)	Last modified: 28 May 2018;  Methods Protocol: v6 (2017)
https://www.mortality.org/hmd/GBR_NP/STATS/Population.txt
  Year          Age             Female            Male           Total
  2017           0            376043.10       396357.01       772400.11
  2017           1            376851.14       397183.43       774034.57
  2017           2            378379.10       398279.03       776658.13
  2017           3            386194.71       406406.67       792601.38
  2017           4            398410.60       418660.75       817071.35
  2017           5            402901.35       422827.06       825728.41
  2017           6            397028.85       415993.73       813022.58
  2017           7            391584.94       409983.00       801567.94
  2017           8            390897.77       409577.41       800475.18
  2017           9            385484.57       404725.03       790209.60
  2017          10            375001.80       393587.28       768589.08
  2017          11            364005.93       381445.92       745451.85
  2017          12            353457.11       370677.48       724134.59
  2017          13            345287.57       362371.40       707658.97
  2017          14            337683.89       354436.22       692120.11
  2017          15            340192.09       355899.26       696091.35
  2017          16            348905.31       365953.04       714858.35
  2017          17            358558.43       377549.34       736107.77
  2017          18            366813.70       385977.72       752791.42
  2017          19            374962.58       394908.75       769871.33
  2017          20            380305.73       403014.59       783320.32
  2017          21            384950.36       407521.55       792471.91
  2017          22            397817.57       418198.37       816015.94
  2017          23            409548.74       428064.37       837613.11
  2017          24            424646.95       436057.90       860704.85
  2017          25            439901.70       450885.71       890787.41
  2017          26            440378.17       455444.90       895823.07
  2017          27            437190.90       448092.11       885283.01
  2017          28            441748.91       444968.72       886717.63
  2017          29            442766.77       439295.82       882062.59
  2017          30            439606.23       436372.67       875978.90
  2017          31            440845.37       441489.83       882335.20
  2017          32            437751.68       435445.12       873196.80
  2017          33            435776.28       431146.08       866922.36
  2017          34            439048.40       431735.86       870784.26
  2017          35            440976.03       433081.82       874057.85
  2017          36            442028.59       435709.22       877737.81
  2017          37            432174.30       427439.79       859614.09
  2017          38            408482.78       404937.17       813419.95
  2017          39            390877.66       388264.51       779142.17
  2017          40            392063.55       388614.86       780678.41
  2017          41            400623.94       394750.56       795374.50
  2017          42            408658.48       401448.93       810107.41
  2017          43            421272.80       413608.75       834881.55
  2017          44            439918.92       432015.61       871934.53
  2017          45            458395.96       446640.13       905036.09
  2017          46            461503.45       447642.31       909145.76
  2017          47            461869.55       447997.71       909867.26
  2017          48            468052.30       453241.80       921294.10
  2017          49            470358.98       457498.83       927857.81
  2017          50            473657.95       460026.76       933684.71
  2017          51            476606.80       460597.10       937203.90
  2017          52            475924.39       460208.14       936132.53
  2017          53            468195.65       453668.90       921864.55
  2017          54            456882.35       444969.19       901851.54
  2017          55            443515.32       433043.60       876558.92
  2017          56            427023.51       416828.97       843852.48
  2017          57            413881.69       403428.87       817310.56
  2017          58            404750.96       393855.11       798606.07
  2017          59            392898.11       381761.86       774659.97
  2017          60            378688.71       367236.40       745925.11
  2017          61            365239.62       352795.41       718035.03
  2017          62            359307.75       344878.87       704186.62
  2017          63            357295.21       342063.27       699358.48
  2017          64            350134.29       333755.45       683889.74
  2017          65            346895.08       328557.49       675452.57
  2017          66            351836.92       331454.12       683291.04
  2017          67            359030.55       337499.15       696529.70
  2017          68            372141.32       349526.75       721668.07
  2017          69            396483.25       371184.37       767667.62
  2017          70            364696.00       339977.29       704673.29
  2017          71            313895.48       289556.55       603452.03
  2017          72            307069.52       281318.95       588388.47
  2017          73            296616.10       268883.42       565499.52
  2017          74            271946.27       241350.75       513297.02
  2017          75            244924.42       213112.23       458036.65
  2017          76            235367.11       202127.95       437495.06
  2017          77            236639.63       201406.06       438045.69
  2017          78            230728.80       193964.49       424693.29
  2017          79            220483.11       182008.44       402491.55
  2017          80            208534.32       167798.30       376332.62
  2017          81            196589.26       154474.21       351063.47
  2017          82            182113.88       139416.81       321530.69
  2017          83            169206.15       125269.72       294475.87
  2017          84            159804.96       113852.09       273657.05
  2017          85            150533.02       102782.28       253315.30
  2017          86            138345.26        89804.51       228149.77
  2017          87            124052.74        76609.63       200662.37
  2017          88            107728.70        63544.45       171273.15
  2017          89             94137.58        53056.07       147193.65
  2017          90             81969.24        44494.97       126464.21
  2017          91             69468.66        35182.94       104651.60
  2017          92             58331.08        27341.98        85673.06
  2017          93             48741.37        20809.25        69550.62
  2017          94             39515.02        15480.79        54995.81
  2017          95             32071.52        11595.53        43667.05
  2017          96             26672.09         8666.26        35338.35
  2017          97             14465.51         4274.44        18739.95
  2017          98              8886.36         2347.51        11233.87
  2017          99              6148.18         1468.44         7616.62
  2017         100              4614.19         1011.04         5625.23
  2017         101              3030.36          611.05         3641.41
  2017         102              1943.09          345.77         2288.86
  2017         103              1138.23          187.20         1325.43
  2017         104               638.41          100.02          738.43
  2017         105               341.30           46.23          387.53
  2017         106               181.04           21.00          202.04
  2017         107                96.23           10.62          106.85
  2017         108                48.08            4.89           52.97
  2017         109                21.77            1.41           23.18
  2017         110+               15.40            0.00           15.40
