"Date";"Event";"AgeGroup";"RegionName";"New";"Cumulative";"Instant"
"2020-02-15";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-02-15";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-02-15";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-02-15";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-02-15";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-02-15";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-02-15";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-02-15";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-02-15";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-02-15";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-02-16";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-02-16";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-02-16";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-02-16";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-02-16";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-02-16";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-02-16";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-02-16";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-02-16";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-02-16";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-02-17";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-02-17";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-02-17";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-02-17";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-02-17";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-02-17";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-02-17";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-02-17";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-02-17";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-02-17";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-02-18";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-02-18";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-02-18";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-02-18";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-02-18";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-02-18";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-02-18";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-02-18";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-02-18";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-02-18";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-02-19";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-02-19";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-02-19";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-02-19";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-02-19";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-02-19";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-02-19";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-02-19";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-02-19";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-02-19";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-02-20";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-02-20";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-02-20";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-02-20";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-02-20";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-02-20";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-02-20";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-02-20";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-02-20";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-02-20";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-02-21";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-02-21";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-02-21";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-02-21";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-02-21";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-02-21";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-02-21";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-02-21";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-02-21";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-02-21";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-02-22";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-02-22";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-02-22";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-02-22";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-02-22";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-02-22";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-02-22";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-02-22";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-02-22";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-02-22";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-02-23";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-02-23";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-02-23";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-02-23";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-02-23";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-02-23";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-02-23";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-02-23";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-02-23";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-02-23";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-02-24";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-02-24";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-02-24";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-02-24";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-02-24";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-02-24";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-02-24";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-02-24";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-02-24";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-02-24";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-02-25";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-02-25";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-02-25";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-02-25";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-02-25";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-02-25";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-02-25";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-02-25";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-02-25";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-02-25";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-02-26";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-02-26";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-02-26";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-02-26";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-02-26";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-02-26";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-02-26";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-02-26";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-02-26";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-02-26";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-02-27";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-02-27";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-02-27";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-02-27";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-02-27";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-02-27";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-02-27";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-02-27";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-02-27";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
